CustomerID,Age,Gender,AnnualIncome,SpendingScore,PurchaseFrequency,TotalPurchaseAmount
CUST001,58,Male,23000,95,9,1324.61
CUST002,26,Male,106000,95,18,5421.59
CUST003,45,Male,23000,12,7,672.01
CUST004,56,Male,91000,26,23,4007.02
CUST005,52,Female,48000,58,19,2213.75
CUST006,18,Male,109000,55,11,4912.58
CUST007,31,Female,33000,12,13,870.52
CUST008,40,Female,25000,94,15,1726.74
CUST009,42,Male,90000,38,21,4357.28
CUST010,41,Male,110000,9,2,4053.62
CUST011,36,Male,49000,13,13,1495.03
CUST012,58,Female,40000,48,12,1624.99
CUST013,35,Male,97000,82,6,6216.38
CUST014,33,Male,79000,49,9,5069.29
CUST015,58,Male,107000,42,25,5836.86
CUST016,32,Male,60000,52,9,2254.65
CUST017,54,Female,47000,84,16,2802.01
CUST018,59,Female,38000,34,5,1404.93
CUST019,53,Female,115000,75,14,8546.99
CUST020,43,Female,48000,18,17,1778.65
CUST021,21,Male,39000,81,6,2860.08
CUST022,45,Male,69000,49,20,4441.16
CUST023,51,Female,90000,2,22,3139.1
CUST024,61,Female,118000,83,11,5719.47
CUST025,45,Male,78000,1,24,2905.93
CUST026,34,Male,84000,14,21,2628.76
CUST027,58,Male,39000,48,25,1529.15
CUST028,51,Male,96000,42,16,3197.46
CUST029,41,Female,50000,8,8,2036.5
CUST030,23,Male,113000,63,3,8026.49
CUST031,52,Male,36000,85,16,2921.72
CUST032,28,Female,87000,78,14,6807.87
CUST033,52,Male,111000,40,13,6622.94
CUST034,59,Female,76000,67,15,3335.17
CUST035,32,Male,63000,3,19,2029.19
CUST036,55,Male,20000,10,23,733.49
CUST037,32,Male,24000,43,3,1142.42
CUST038,35,Female,47000,70,5,3091.32
CUST039,54,Female,51000,61,14,2259.04
CUST040,24,Female,65000,55,14,3313.13
CUST041,64,Male,106000,84,21,5117.22
CUST042,43,Female,33000,32,7,1149.87
CUST043,46,Male,74000,24,9,2864.69
CUST044,22,Female,90000,13,2,3457.2
CUST045,52,Male,31000,97,8,1705.79
CUST046,49,Female,47000,52,2,1907.17
CUST047,18,Female,53000,59,10,2709.57
CUST048,64,Female,39000,25,10,1295.77
CUST049,21,Male,115000,41,2,3895.74
CUST050,48,Male,27000,66,3,1843.81
CUST051,22,Male,106000,31,13,3469.37
CUST052,54,Male,94000,77,2,6124.57
CUST053,44,Female,53000,27,22,2442.9
CUST054,33,Female,70000,17,22,2800.89
CUST055,47,Female,116000,10,1,3845.29
CUST056,54,Male,29000,69,7,1676.3
CUST057,26,Female,28000,32,12,1043.8
CUST058,46,Female,98000,84,17,4392.22
CUST059,53,Female,104000,14,5,3179.18
CUST060,24,Male,54000,37,20,1999.17
CUST061,39,Male,107000,82,9,6741.41
CUST062,34,Male,31000,82,14,2331.5
CUST063,20,Male,62000,99,5,4670.2
CUST064,34,Male,114000,57,18,6761.97
CUST065,53,Male,34000,10,23,1436.16
CUST066,52,Male,67000,75,18,3171.2
CUST067,26,Male,59000,47,2,3568.35
CUST068,31,Male,105000,14,12,4366.24
CUST069,44,Male,50000,21,6,2359.39
CUST070,19,Male,114000,43,14,6356.56
CUST071,65,Male,54000,21,23,1586.01
CUST072,20,Female,48000,26,15,1764.27
CUST073,32,Male,23000,85,7,1382.33
CUST074,35,Male,118000,36,12,5683.95
CUST075,43,Female,23000,15,9,668.31
CUST076,34,Male,33000,77,14,1820.63
CUST077,38,Female,97000,66,4,5093.96
CUST078,54,Male,52000,6,23,1620.16
CUST079,51,Male,66000,56,3,4389.83
CUST080,39,Female,104000,16,24,4694.25
CUST081,50,Female,105000,53,11,5061.18
CUST082,36,Male,44000,54,22,2870.28
CUST083,61,Male,98000,73,10,5474.65
CUST084,18,Female,56000,27,14,2676.54
CUST085,56,Female,79000,57,15,4610.75
CUST086,50,Female,114000,22,22,3321.28
CUST087,50,Female,31000,97,8,2353.92
CUST088,32,Male,38000,4,2,1016.96
CUST089,48,Male,78000,54,21,4207.54
CUST090,63,Female,83000,52,8,3324.81
CUST091,62,Male,116000,99,4,9422.31
CUST092,32,Male,109000,67,15,4520.39
CUST093,33,Male,78000,18,15,3193.35
CUST094,53,Female,116000,57,20,7282.41
CUST095,50,Female,90000,58,6,5487.97
CUST096,48,Female,53000,97,8,4389.97
CUST097,35,Female,100000,31,9,4087.04
CUST098,63,Female,50000,35,11,1962.02
CUST099,52,Male,37000,20,8,1307.33
CUST100,27,Male,28000,54,14,1298.19
CUST101,47,Female,27000,27,14,1028.55
CUST102,55,Male,117000,74,13,6876.89
CUST103,40,Female,116000,50,14,5933.01
CUST104,65,Male,82000,29,9,3279.87
CUST105,19,Female,63000,86,22,4782.97
CUST106,64,Male,79000,17,20,2966.72
CUST107,43,Male,30000,83,14,1481.57
CUST108,47,Male,26000,34,13,1016.17
CUST109,47,Female,63000,98,13,3779.57
CUST110,44,Female,30000,61,1,1875.84
CUST111,21,Female,48000,84,3,3567.93
CUST112,59,Male,116000,4,8,3004.39
CUST113,19,Male,50000,17,16,2027.08
CUST114,54,Male,79000,90,9,6048.96
CUST115,28,Male,119000,21,10,3495.1
CUST116,19,Female,93000,87,13,5652.72
CUST117,63,Male,29000,76,23,2099.02
CUST118,33,Male,109000,99,10,9180.88
CUST119,56,Male,92000,6,12,3039.36
CUST120,60,Female,28000,65,21,1418.63
CUST121,44,Female,33000,56,12,1869.87
CUST122,47,Male,75000,23,24,2978.36
CUST123,59,Female,98000,69,25,5588.91
CUST124,45,Female,61000,32,3,2264.5
CUST125,46,Male,116000,60,19,6678.67
CUST126,42,Female,23000,64,11,1034.68
CUST127,31,Female,53000,44,9,3098.48
CUST128,62,Female,91000,2,17,3556.3
CUST129,23,Male,112000,53,16,5924.24
CUST130,33,Female,102000,92,16,6601.73
CUST131,19,Male,57000,29,13,2644.06
CUST132,37,Female,80000,71,17,4234.02
CUST133,65,Female,65000,90,15,3700.34
CUST134,34,Male,35000,93,7,2091.7
CUST135,65,Male,44000,28,24,1795.61
CUST136,64,Female,32000,25,10,1070.71
CUST137,29,Female,21000,91,18,1081.98
CUST138,20,Male,90000,38,23,5151.93
CUST139,58,Female,33000,2,19,884.88
CUST140,48,Female,63000,24,2,2124.29
CUST141,48,Male,28000,52,16,1058.9
CUST142,58,Male,39000,20,19,1881.36
CUST143,23,Male,35000,72,25,1954.49
CUST144,56,Male,119000,67,13,6558.51
CUST145,46,Female,95000,55,10,5143.42
CUST146,21,Male,117000,27,21,3945.93
CUST147,60,Male,40000,31,6,1748.91
CUST148,28,Male,72000,58,23,4046.0
CUST149,36,Male,49000,37,23,1909.01
CUST150,47,Male,107000,30,9,5270.1
CUST151,58,Male,74000,15,18,2224.14
CUST152,27,Female,38000,10,2,1033.02
CUST153,37,Female,76000,16,15,3079.58
CUST154,62,Female,54000,65,18,3012.74
CUST155,23,Male,75000,95,11,5417.36
CUST156,19,Male,49000,87,19,3341.18
CUST157,19,Female,93000,6,25,3476.51
CUST158,48,Female,55000,24,19,2094.21
CUST159,49,Male,80000,45,14,3455.94
CUST160,60,Male,40000,43,14,2107.39
CUST161,36,Female,117000,71,2,6647.6
CUST162,38,Female,61000,15,25,2069.74
CUST163,50,Male,104000,70,15,5718.03
CUST164,30,Female,99000,97,16,7323.71
CUST165,21,Male,54000,71,5,3962.83
CUST166,46,Female,35000,4,21,1178.25
CUST167,33,Male,59000,71,1,3553.62
CUST168,23,Male,34000,60,4,1998.72
CUST169,27,Female,111000,38,17,5635.55
CUST170,44,Female,80000,32,15,3529.32
CUST171,42,Male,96000,66,24,6646.69
CUST172,22,Female,118000,54,11,7675.23
CUST173,50,Female,20000,37,24,787.7
CUST174,55,Female,39000,58,18,2055.31
CUST175,39,Female,78000,42,7,4703.41
CUST176,33,Female,49000,100,14,2490.83
CUST177,65,Female,110000,49,13,7054.87
CUST178,59,Male,83000,5,5,2659.65
CUST179,55,Female,32000,57,4,1715.91
CUST180,47,Male,112000,19,14,5148.44
CUST181,27,Male,80000,34,11,3745.96
CUST182,43,Male,62000,87,18,3728.36
CUST183,38,Female,89000,5,20,2110.52
CUST184,58,Female,49000,96,3,3218.82
CUST185,24,Male,76000,22,23,2594.0
CUST186,19,Male,61000,8,10,1853.22
CUST187,45,Male,51000,68,14,3032.6
CUST188,29,Male,42000,11,20,1766.27
CUST189,57,Male,83000,75,5,4179.78
CUST190,58,Female,78000,33,22,2377.72
CUST191,47,Female,106000,70,6,4576.06
CUST192,40,Female,101000,55,23,4464.51
CUST193,37,Male,69000,62,4,3184.99
CUST194,54,Female,93000,38,23,3687.14
CUST195,60,Female,55000,2,19,2065.05
CUST196,65,Male,97000,96,16,7959.79
CUST197,36,Male,97000,46,8,5079.64
CUST198,57,Female,106000,97,24,8463.17
CUST199,61,Male,100000,13,21,3829.07
CUST200,37,Female,24000,75,12,1640.76
